step	CCRONDEL	CCOVOIDE	CC.CRUZ	CCCUBICA	CCTRAPEZIFORM	BILOBADA	POLILOBADA	SADDLE	ELONGATESMOOTH	ELONGATESINUOUS	ELECHINATE	ELDENDRITICO	TRAPEZIFORMSINUOUS	TRAPEZIFORMPOLILOBATE	BULIFORME	PAPILLA	TRICOMA	BASETRICOMA	ESTOMA	CORKCELL	XYLEMCELL	CYPERACEAE	DETGRAMINEA	cf.FERN	GLOBULARSMOOTH	GLOBULARECHINATE	GLOBULARRUGOSE	BLOCKY	JIGSAW	PLACAPERFORADA	EPIDERMDICOT	DETDICOT		
1-350M5	164	0	0	0	0	17	4	1	20	0	7	3	12	12	1	0	44	1	0	0	0	0	5	0	0	0	0	2	2	0	2	0
1-400M5	194	0	0	0	0	22	4	1	21	1	8	3	12	15	1	0	49	1	0	0	0	0	5	0	0	0	0	2	2	0	2	0
1-450M5	222	0	0	0	3	24	5	1	26	1	8	3	14	15	1	0	53	2	0	0	0	0	7	0	0	0	0	2	2	0	2	0
1-500M5	253	0	0	0	3	26	5	3	27	1	8	3	15	15	1	0	57	3	0	0	0	0	7	0	0	0	0	3	2	0	2	0
1-550M5	287	0	0	0	3	30	5	3	30	1	8	3	15	15	1	0	58	3	0	0	0	0	10	0	0	0	0	3	2	0	2	0
1-600M5	309	0	0	0	3	34	7	3	31	1	9	3	17	15	1	0	62	3	0	0	0	0	12	0	0	0	0	4	2	0	2	0
1-50M6	22	0	0	0	0	0	2	0	5	0	1	1	3	0	1	0	1	0	1	1	0	0	0	0	0	0	0	3	0	0	1	0
1-100M6	35	0	0	0	0	0	2	0	15	0	2	1	8	3	1	0	5	0	1	1	0	0	0	0	0	0	0	5	0	0	3	0
1-150M6	51	0	0	0	0	0	3	0	20	1	8	1	16	3	2	0	7	1	1	3	0	0	0	0	0	0	0	5	1	0	3	0
1-200M6	69	0	0	0	0	1	3	0	24	1	9	1	19	3	3	0	9	1	1	4	0	0	0	0	0	0	0	7	1	0	8	0
1-250M6	87	1	0	0	0	1	4	1	32	1	13	2	22	3	3	0	10	1	1	4	0	0	2	0	0	0	0	9	4	0	9	0
